Attributes,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,AAPL,GE,TSLA,AAPL,GE,TSLA,AAPL,GE,TSLA,AAPL,GE,TSLA,AAPL,GE,TSLA,AAPL,GE,TSLA
Date,,,,,,,,,,,,,,,,,,
2021-03-31,121.94287109375,13.130000114440918,667.9299926757812,122.1500015258789,13.130000114440918,667.9299926757812,123.5199966430664,13.430000305175781,672.0,121.1500015258789,13.130000114440918,641.1099853515625,121.6500015258789,13.380000114440918,646.6199951171875,118323800,62586000,33337300
2021-04-01,122.79142761230469,13.279999732971191,661.75,123.0,13.279999732971191,661.75,124.18000030517578,13.359999656677246,692.4199829101562,122.48999786376953,13.149999618530273,659.4199829101562,123.66000366210938,13.229999542236328,688.3699951171875,75089100,59183800,35298400
2021-04-05,125.68651580810547,13.460000038146973,691.0499877929688,125.9000015258789,13.460000038146973,691.0499877929688,126.16000366210938,13.569999694824219,708.1599731445312,123.06999969482422,13.369999885559082,684.7000122070312,123.87000274658203,13.470000267028809,707.7100219726562,88651200,50738900,41842800
2021-04-06,125.99598693847656,13.399999618530273,691.6199951171875,126.20999908447266,13.399999618530273,691.6199951171875,127.12999725341797,13.5,696.5499877929688,125.6500015258789,13.369999885559082,681.3699951171875,126.5,13.460000038146973,690.2999877929688,80171300,40052200,28271800
2021-04-07,127.68312072753906,13.390000343322754,670.969970703125,127.9000015258789,13.390000343322754,670.969970703125,127.91999816894531,13.529999732971191,691.3800048828125,125.13999938964844,13.260000228881836,667.8400268554688,125.83000183105469,13.399999618530273,687.0,83466700,41765400,26309400
2021-04-08,130.13894653320312,13.449999809265137,683.7999877929688,130.36000061035156,13.449999809265137,683.7999877929688,130.38999938964844,13.5,689.5499877929688,128.52000427246094,13.09000015258789,671.6500244140625,128.9499969482422,13.260000228881836,677.3800048828125,88844600,54919000,23924300
2021-04-09,132.77447509765625,13.600000381469727,677.02001953125,133.0,13.600000381469727,677.02001953125,133.0399932861328,13.829999923706055,680.969970703125,129.47000122070312,13.420000076293945,669.4299926757812,129.8000030517578,13.5,677.77001953125,106686700,63246000,21437100
2021-04-12,131.0174560546875,13.59000015258789,701.97998046875,131.24000549316406,13.59000015258789,701.97998046875,132.85000610351562,13.680000305175781,704.7999877929688,130.6300048828125,13.470000267028809,682.0900268554688,132.52000427246094,13.609999656677246,685.7000122070312,91420000,42077000,29135700
2021-04-13,134.20204162597656,13.4399995803833,762.3200073242188,134.42999267578125,13.4399995803833,762.3200073242188,134.66000366210938,13.539999961853027,763.0,131.92999267578125,13.260000228881836,710.6599731445312,132.44000244140625,13.510000228881836,712.7000122070312,91266500,51223800,44652800
2021-04-14,131.80612182617188,13.680000305175781,732.22998046875,132.02999877929688,13.680000305175781,732.22998046875,135.0,13.789999961853027,780.7899780273438,131.66000366210938,13.420000076293945,728.030029296875,134.94000244140625,13.430000305175781,770.7000122070312,87222800,64639000,49017400
2021-04-15,134.2719268798828,13.550000190734863,738.8499755859375,134.5,13.550000190734863,738.8499755859375,135.0,13.75,743.6900024414062,133.63999938964844,13.4399995803833,721.3099975585938,133.82000732421875,13.729999542236328,743.0999755859375,89347100,50881800,27848900
2021-04-16,133.93251037597656,13.390000343322754,739.780029296875,134.16000366210938,13.390000343322754,739.780029296875,134.6699981689453,13.680000305175781,749.4099731445312,133.27999877929688,13.350000381469727,724.5999755859375,134.3000030517578,13.630000114440918,728.6500244140625,84922400,50024400,27979500
2021-04-19,134.61134338378906,13.460000038146973,714.6300048828125,134.83999633789062,13.460000038146973,714.6300048828125,135.47000122070312,13.470000267028809,725.4000244140625,133.33999633789062,13.170000076293945,691.7999877929688,133.50999450683594,13.319999694824219,719.5999755859375,94264200,44875800,39686200
2021-04-20,132.88429260253906,13.0600004196167,718.989990234375,133.11000061035156,13.0600004196167,718.989990234375,135.52999877929688,13.40999984741211,737.25,131.80999755859375,12.899999618530273,710.6900024414062,135.02000427246094,13.40999984741211,717.4199829101562,94812300,61456700,35609000
2021-04-21,133.27362060546875,13.350000381469727,744.1199951171875,133.5,13.350000381469727,744.1199951171875,133.75,13.380000114440918,744.8400268554688,131.3000030517578,12.770000457763672,698.0,132.36000061035156,12.930000305175781,704.77001953125,68847100,49608100,31215500
2021-04-22,131.71627807617188,13.40999984741211,719.6900024414062,131.94000244140625,13.40999984741211,719.6900024414062,134.14999389648438,13.680000305175781,753.77001953125,131.41000366210938,13.279999732971191,718.0399780273438,133.0399932861328,13.350000381469727,741.5,84566500,52607800,35590300
2021-04-23,134.0922393798828,13.550000190734863,729.4000244140625,134.32000732421875,13.550000190734863,729.4000244140625,135.1199951171875,13.609999656677246,737.3599853515625,132.16000366210938,13.359999656677246,715.4600219726562,132.16000366210938,13.5,719.7999877929688,78657500,46638100,28370000
2021-04-26,134.49156188964844,13.569999694824219,738.2000122070312,134.72000122070312,13.569999694824219,738.2000122070312,135.05999755859375,14.0,749.2999877929688,133.55999755859375,13.550000190734863,732.6099853515625,134.8300018310547,13.630000114440918,741.0,66905100,93778900,31038500
2021-04-27,134.162109375,13.489999771118164,704.739990234375,134.38999938964844,13.489999771118164,704.739990234375,135.41000366210938,13.539999961853027,724.0,134.11000061035156,12.90999984741211,703.3499755859375,135.00999450683594,13.5,717.9600219726562,66015800,149775000,29437000
2021-04-28,133.35348510742188,13.199999809265137,694.4000244140625,133.5800018310547,13.199999809265137,694.4000244140625,135.02000427246094,13.350000381469727,708.5,133.0800018310547,13.149999618530273,693.5999755859375,134.30999755859375,13.329999923706055,696.4099731445312,107760100,66095400,22271000
2021-04-29,133.253662109375,13.210000038146973,677.0,133.47999572753906,13.210000038146973,677.0,137.07000732421875,13.289999961853027,702.25,132.4499969482422,13.079999923706055,668.5,136.47000122070312,13.180000305175781,699.510009765625,151101000,55157600,28845400
2021-04-30,131.23709106445312,13.119999885559082,709.4400024414062,131.4600067138672,13.119999885559082,709.4400024414062,133.55999755859375,13.350000381469727,715.469970703125,131.07000732421875,13.079999923706055,666.1400146484375,131.77999877929688,13.15999984741211,667.5900268554688,109713200,49863500,40686400
